t_idx,batch,dataset,question,answer,y,hopped,system,rag_hit,faith,faith_metric,knowledge,gold
10,0,squad,What day was the Super Bowl played on?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,"February 7, 2016"
11,0,squad,Who won Super Bowl 50?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,Denver Broncos
12,0,squad,What venue did Super Bowl 50 take place in?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,Levi's Stadium
13,0,squad,What city did Super Bowl 50 take place in?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,Santa Clara
14,0,squad,"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,Super Bowl L
15,0,squad,Super Bowl 50 decided the NFL champion for what season?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,2015
16,0,squad,What year did the Denver Broncos secure a Super Bowl title for the third time?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,2015
17,0,squad,What city did Super Bowl 50 take place in?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,Santa Clara
18,0,squad,What stadium did Super Bowl 50 take place in?,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,Levi's Stadium
19,0,squad,What was the final score of Super Bowl 50? ,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL),0,False,quiet,1.0,1.0,answer_precision,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated the National Football Conference (NFC) ,24–10
