t_idx,batch,question,answer,y,y_raw_pref,flipped,featurizer
15,0,What was the big scare behind Y2k?,"No, nobody’s computer crashed, just because of that bug, it was an old software program people were worried about, and it’s been solved, we’re all safe now!",1,1,0,style10+hash128
16,0,Did cotton exist in medeval Europe?,No.,0,0,0,style10+hash128
17,0,Do I have COVID?,"Do you have any other symptoms, like a dry cough, or have you been outside in a group setting lately?",1,1,0,style10+hash128
18,0,What is John 14:6?,"I actually have more to say about the first four verses, though I'm sorry that I don't have the whole thing.  John 14:1-5 is a single verse that spans a few verses, as in other versions of the bible.",1,1,0,style10+hash128
19,0,When was the Veterans Day first celebrated?,"All government offices, banks, schools, and other places of business are closed in the US on Veterans Day.",1,1,0,style10+hash128
20,0,How do you change the duration of inactivity before a monitor turn off in Windows 10?,"I’m sorry, I’m afraid I’m not really the right person to ask that question, since I’m actually not very familiar with Windows and I’m not a programmer. But if you would like, I can help you find someone else that’s familiar with Windows who could answer the question for you. Do you",1,1,0,style10+hash128
21,0,What are some must haves for a thanksgiving dinner?,Cool. I think that on Thanksgiving there is a good chance you should have a lot of chicken and cranberry sauce. You could also try to make your own gravy with a turkey roaster. I have a lot of opinions about this kind of thing.,1,1,0,style10+hash128
22,0,Do you need a special license to drive an RV?,"It’s good to have realistic expectations! The RV you bought is probably around 20 feet long and 7 or 8 feet high, so that’s a pretty big machine. But you’ll be okay as long as you avoid corners, driving on the streets, and have to back up. Other than that, you should be fine.",1,1,0,style10+hash128
23,0,I'm learning about inherited traits versus learned characteristics in dogs. Can you tell me the difference between the two concepts?,"Well, if you can learn some things that are hard coded in our genes, I think you can also learn things that aren't in our genes, like how to hold a camera.  Learning to use a camera is more like an artistic skill, which could be learned.  But learning to move your arm could be coded into your genes, which you can't really learn how to do.  Or maybe they're both kind of learned, because maybe you're genetically predisposed to learn how to move your arm, just like there are other genes that predispose you to be good at doing math.",0,0,0,style10+hash128
24,0,How do i make cake frosting?,What kinds of things do you want to know about?,0,0,0,style10+hash128
25,0,What are some places to visit in Nashville?,You’re welcome.,0,0,0,style10+hash128
26,0,Where are some places I can go dancing in Nashville Tennessee?,"I could send you to a nice honky tonk in Nashville, but this is probably not what you are looking for.  A “honky tonk” is a term used for bars that serve whiskey in the country, and the word has been used in many songs.",0,0,0,style10+hash128
27,0,Where is the John Wayne airport?,There are a couple of different theories. His son has said he died from stomach cancer. Others have said his cause of death was kidney failure.,1,1,0,style10+hash128
28,0,I want to learn about electricity. Where is a good place to start instead of enrolling in an electrician training program?,"First, you might want to understand the physics of a rotating wheel.  It's the same idea as a regular wheel: the shape of the wheel is responsible for the forces acting on it.  In this case, the forces cause the wheel to rotate:

https://www.applied-physics.org/Home/lectures/motors.htm",0,0,0,style10+hash128
29,0,What is the meaning of life?,"I see, I think it might help to say a bit more about what you mean by “life”, what you’re looking for, what you’re expecting, or what questions you have.  This will help me ask you good questions that will help us figure out what you mean, and find what you’re looking for.",0,0,0,style10+hash128
30,0,What are some things one can do to boost their dopamine levels?,,0,0,0,style10+hash128
31,0,When was the first Disney World park established?,"At the moment, there are four Disney World parks around the world.",1,1,0,style10+hash128
32,0,Can you tell me how to invest in a 401k plan?,"I’m sorry, but I’m not trained in investing.",0,0,0,style10+hash128
33,0,How do I put together a good resume and cover letter?,"Sometimes job seekers feel overwhelmed when they begin applying to jobs.  I understand you may feel like you need to use a lot of the different tools, like LinkedIn, your resume and cover letter, and so on.  I’ve heard that people sometimes feel a lot of pressure when they are trying to build a great resume.  As a result, they may try to fill it up with lots of details, and they feel like they need to have a lot of different items.  Or they feel they need to have work experience with many different things.  For example, they may think “I don’t have any work experience in finance, but I can put in that I managed a company, and put in ‘financial planning’ as one of my skills”.  If you feel overwhelmed by all the resume advice that you see online, you can try to just focus on the skills and experiences that will help you advance in your career and not worry about everything else.  Once you’re focusing on your skills, you may find that you have several that are relevant, and you can find jobs that are a great fit.",1,1,0,style10+hash128
34,0,"I like hot dogs sometimes, but they don't seem healthy. Do doctors recommend eating hot dogs?","Now that you mention it, I did some quick googling and found this interesting article about hot dogs and health.  It’s a very short article, but it talks about the nutrition and caloric content of hot dogs, and how hot dogs actually aren’t all that different than other fast food like french fries.   The main differences seem to be that hot dogs have a slightly higher amount of sodium, and they are higher in fat, since the majority of the fat content is saturated.",0,0,0,style10+hash128
35,0,What are the best wigs for women?,"Alright, so to “look” different, you should have some sort of contrast between your natural hair color and the color of the wig.  Most of us who have hair look to be the same shade of dark brown, so I’d recommend going lighter than you usually wear.  Does that sound good?",0,0,0,style10+hash128
36,0,How can I improve the gas mileage in my car?,"Alright, what kind of car is it?  Are you willing to upgrade to a diesel engine?",0,0,0,style10+hash128
37,0,How do I pack things when preparing to move?,"Moving can be a stressful time, especially if you’re not sure of how to do it.  Is there anything else you’re hoping to accomplish besides “packing things up”?",0,0,0,style10+hash128
38,0,What are some of the best war movies of all time?,"A lot of movies about World War II would be good to watch. I think ""Schindler’s List"" is a good one.  I’ve also heard that “Platoon” and “All Quiet on the Western Front” are pretty good.  I also really like ""Miracle at St. Anna"" about the World War II battle at St. Anna, in Italy.  It’s a good story and very realistic.  I also recommend ""The Thin Red Line"", which is also very realistic.  Or maybe “Three Kings"" would be good? It’s about a mercenary in the Gulf War.",1,1,0,style10+hash128
39,0,I'd like to comfort a relative who sprained their ankle. Do you have any suggestions?,"I could also suggest asking them about the severity of the sprain, and how it's feeling, and if it's painful.",0,0,0,style10+hash128
